apps/erpnext/erpnext/templates/includes/product_page.js +24,In Stock,متوفر في المخزون
apps/erpnext/erpnext/public/js/utils/customer_quick_entry.js +16,Primary Contact Details,تفاصيل جهة الإتصال الرئيسية
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html +46,Open Issues,المشاكل المفتوحة
DocType: Production Plan Item,Production Plan Item,خطة إنتاج الصنف
apps/erpnext/erpnext/hr/doctype/employee/employee.py +144,User {0} is already assigned to Employee {1},المستخدم {0} تم تعيينه بالفعل إلى موظف {1}
DocType: Lab Test Groups,Add new line,إضافة سطر جديد
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +31,Health Care,الرعاية الصحية
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py +65,Delay in payment (Days),التأخير في الدفع (بالأيام)
DocType: Payment Terms Template Detail,Payment Terms Template Detail,تفاصيل نموزج شروط الدفع
DocType: Lab Prescription,Lab Prescription,وصفة (روشتة) المختبر
apps/erpnext/erpnext/hub_node/page/hub/hub.js +185,Sort by Price,تصنيف حسب السعر
apps/erpnext/erpnext/hr/report/vehicle_expenses/vehicle_expenses.py +26,Service Expense,نفقات الصيانة
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py +887,Serial Number: {0} is already referenced in Sales Invoice: {1},رقم السيريال: {0} تم الإشارة إليه من قبل في فاتورة المبيعات: {1}
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js +824,Invoice,فاتورة
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.js +109,Make Retention Stock Entry,إنشاء حركة الإحتفاظ بمخزون العينة
DocType: Purchase Invoice Item,Item Weight Details,تفاصيل وزن الصنف
DocType: Asset Maintenance Log,Periodicity,دورية
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py +21,Fiscal Year {0} is required,السنة المالية {0} مطلوبة
DocType: Crop Cycle,The minimum distance between rows of plants for optimum growth,الحد الأدنى للمسافة بين صفوف النباتات للنمو الأمثل
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py +21,Defense,المحاماة
DocType: Salary Component,Abbr,الإسم المختصر
DocType: Appraisal Goal,Score (0-5),نقاط (0-5)
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +223,Row {0}: {1} {2} does not match with {3},صف {0}: {1} {2} لا يتطابق مع {3}
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py +75,Row # {0}:,الصف # {0}
DocType: Timesheet,Total Costing Amount,اجمالي قيمة التكاليف
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js +51,Customer &gt; Customer Group &gt; Territory,العميل &gt; مجموعة العملاء&gt; منطقة
DocType: Delivery Note,Vehicle No,رقم السيارة
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py +157,Please select Price List,يرجى تحديد قائمة الأسعار
DocType: Accounts Settings,Currency Exchange Settings,إعدادات صرف العملات
apps/erpnext/erpnext/accounts/doctype/bank_reconciliation/bank_reconciliation.py +78,Row #{0}: Payment document is required to complete the trasaction,الصف # {0}:  مستند الدفع مطلوب لإتمام المعاملة
DocType: Production Order Operation,Work In Progress,تحت التشغيل
apps/erpnext/erpnext/schools/report/absent_student_report/absent_student_report.py +13,Please select date,يرجى تحديد التاريخ
DocType: Employee,Holiday List,قائمة العطلات
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py +127,Accountant,محاسب
DocType: Hub Settings,Selling Price List,قائمة أسعار البيع
DocType: Patient,Tobacco Current Use,إستخدام التدخين الحالي
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py +21,Selling Rate,سعر البيع
DocType: Cost Center,Stock User,مستخدم المخزون
DocType: Soil Analysis,(Ca+Mg)/K,(الكالسيوم + المغنيسيوم) / بوتاسيوم
DocType: Company,Phone No,رقم الهاتف
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.py +237,New {0}: #{1},جديد {0}: # {1}
DocType: Delivery Trip,Initial Email Notification Sent,تم إرسال إيميل إشعار التنبيه الأولي
,Sales Partners Commission,عمولة شركاء البيع
DocType: Soil Texture,Sandy Clay Loam,طفلة رمل/طين رملية
DocType: Purchase Invoice,Rounding Adjustment,تسوية التقريب
apps/erpnext/erpnext/setup/doctype/company/company.py +45,Abbreviation cannot have more than 5 characters,الإسم المختصر لا يمكن أن يكون أكثر من 5 أحرف
DocType: Physician Schedule Time Slot,Physician Schedule Time Slot,فراغات الوقت في جدول مواعيد الطبيب
DocType: Payment Request,Payment Request,طلب السداد و الدفع
DocType: Asset,Value After Depreciation,قيمة بعد الإهلاك
DocType: Student,O+,O+
apps/erpnext/erpnext/stock/doctype/purchase_receipt/purchase_receipt_dashboard.py +18,Related,ذات صلة
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py +43,Attendance date can not be less than employee's joining date,تاريخ الحضور لا يمكن أن يكون قبل تاريخ إلتحاق الموظف بالعمل
DocType: Grading Scale,Grading Scale Name,إسم نطاق الدرجات
DocType: Subscription,Repeat on Day,كرر في يوم
apps/erpnext/erpnext/accounts/doctype/account/account.js +41,This is a root account and cannot be edited.,.هذا حساب جذري و لايمكن تعديله
DocType: Sales Invoice,Company Address,عنوان الشركة
DocType: BOM,Operations,عمليات التشغيل
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py +38,Cannot set authorization on basis of Discount for {0},لا يمكن تحديد التفويض أو التصريح على أساس الخصم ل {0}
DocType: Rename Tool,"Attach .csv file with two columns, one for the old name and one for the new name",إرفاق ملف csv مع عمودين، واحد للاسم القديم و واحد للاسم الجديد
apps/erpnext/erpnext/accounts/utils.py +73,{0} {1} not in any active Fiscal Year.,{0} {1} ليس في أي سنة مالية نشطة.
DocType: Packed Item,Parent Detail docname,الأب تفاصيل docname
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py +69,"Reference: {0}, Item Code: {1} and Customer: {2}",المرجع: {0}، كود الصنف: {1} والعميل: {2}
apps/erpnext/erpnext/utilities/user_progress.py +143,Kg,كجم
apps/erpnext/erpnext/config/hr.py +45,Opening for a Job.,الإعلان عن وظيفة شاغرة
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py +103,BOM is not specified for subcontracting item {0} at row {1},لم يتم تحديد بوم للتعاقد من الباطن للصنف {0} في الصف {1}
apps/erpnext/erpnext/education/doctype/assessment_result_tool/assessment_result_tool.js +149,{0} Result submittted,{0} نتيجة تم تسجيلها
DocType: Item Attribute,Increment,التزايد
apps/erpnext/erpnext/utilities/page/leaderboard/leaderboard.js +61,Timespan,مدي زمني
apps/erpnext/erpnext/public/js/stock_analytics.js +61,Select Warehouse...,حدد المخزن ...
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py +6,Advertising,الدعاية
apps/erpnext/erpnext/accounts/doctype/mode_of_payment/mode_of_payment.py +22,Same Company is entered more than once,تم تسجيل نفس الشركة أكثر من مرة
DocType: Patient,Married,متزوج
apps/erpnext/erpnext/accounts/party.py +44,Not permitted for {0},غير مسموح ل {0}
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js +593,Get items from,الحصول على الأصناف من
DocType: Price List,Price Not UOM Dependant,السعر لا تعتمد على وحدة القياس
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py +461,Stock cannot be updated against Delivery Note {0},لا يمكن تحديث المخزون مقابل إذن تسليم بضاعة {0}
apps/erpnext/erpnext/templates/pages/home.py +25,Product {0},المنتج {0}
apps/erpnext/erpnext/templates/generators/item_group.html +43,No items listed,لم يتم إدراج أية أصناف
DocType: Asset Repair,Error Description,وصف العطل
DocType: Payment Reconciliation,Reconcile,تسوية
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py +30,Grocery,بقالة
DocType: Quality Inspection Reading,Reading 1,قراءة 1
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py +40,Pension Funds,صناديق التقاعد
apps/erpnext/erpnext/assets/doctype/asset/asset.py +88,Next Depreciation Date cannot be before Purchase Date,تاريخ الإهلاك التالي لا يمكن أن يكون قبل تاريخ الشراء
DocType: Crop,Perennial,دائم
DocType: Consultation,Consultation Date,تاريخ الإستشارة
apps/erpnext/erpnext/hub_node/page/hub/hub.js +131,Product listing and discovery for ERPNext users,قائمة المنتجات و الإستكشاف لمستخدمين ريفاليو
DocType: SMS Center,All Sales Person,كل مندوبى المبيعات
DocType: Monthly Distribution,**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** التوزيع الشهري ** يساعدك على توزيع التارجت/الموازنة على مدى عدة شهور إذا كان لديك موسمية في عملك.
apps/erpnext/erpnext/accounts/page/pos/pos.js +1742,Not items found,لايوجدأصناف
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py +183,Salary Structure Missing,هيكل المرتب مفقود
DocType: Lead,Person Name,إسم الشخص
DocType: Sales Invoice Item,Sales Invoice Item,صنف فاتورة مبيعات
DocType: Account,Credit,دائن
DocType: POS Profile,Write Off Cost Center,مركز التكلفة ل شطب مبلغ
apps/erpnext/erpnext/public/js/setup_wizard.js +117,"e.g. ""Primary School"" or ""University""","مثلا ""المدرسة الإبتدائية"" أو ""الجامعة"""
apps/erpnext/erpnext/config/stock.py +28,Stock Reports,تقارير المخزون
DocType: Warehouse,Warehouse Detail,تفاصيل المخزن
apps/erpnext/erpnext/selling/doctype/customer/customer.py +192,Credit limit has been crossed for customer {0} {1}/{2},تم تجاوز حد الإئتمان أو الدين المسموح به للعميل {0} {1} / {2}
apps/erpnext/erpnext/education/doctype/academic_term/academic_term.py +33,The Term End Date cannot be later than the Year End Date of the Academic Year to which the term is linked (Academic Year {}). Please correct the dates and try again.,تاريخ نهاية المدة لا يمكن أن يكون في وقت لاحق من تاريخ نهاية السنة للعام الدراسي الذي يرتبط به التيرم أو الفصل الدراسي (السنة الأكاديمية {}). يرجى تصحيح التواريخ وحاول مرة أخرى.
apps/erpnext/erpnext/stock/doctype/item/item.py +258,"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""اصل ثابت"" لا يمكن أن يكون غير محدد، حيث يوجد سجل أصل مقابل الصنف"
DocType: Delivery Trip,Departure Time,وقت المغادرة
DocType: Vehicle Service,Brake Oil,زيت الفرامل
DocType: Tax Rule,Tax Type,نوع الضريبة
apps/erpnext/erpnext/controllers/taxes_and_totals.py +561,Taxable Amount,المبلغ الخاضع للضريبة
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +160,You are not authorized to add or update entries before {0},غير مصرح لك بإضافة أو تحديث القيود أو الإدخالات قبل {0}
DocType: BOM,Item Image (if not slideshow),صورة الصنف (إن لم يكن عرض شرائح)
DocType: Production Order Operation,(Hour Rate / 60) * Actual Operation Time,(سعر الساعة / 60) * وقت التشغيل الفعلي
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js +1076,Row #{0}: Reference Document Type must be one of Expense Claim or Journal Entry,الصف # {0}: يجب أن يكون نوع مستند المرجع واحدا من مطالبة بالمصروفات أو قيد يومية
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js +964,Select BOM,حدد البوم
DocType: SMS Log,SMS Log,SMS سجل رسائل
apps/erpnext/erpnext/projects/report/project_wise_stock_tracking/project_wise_stock_tracking.py +27,Cost of Delivered Items,تكلفة الأصناف المسلمة
apps/erpnext/erpnext/config/hr.py +127,Manage advance amount given to the Employee,إدارة مبلغ العهدة المدفوع مقدما للموظف
apps/erpnext/erpnext/hr/doctype/holiday_list/holiday_list.py +38,The holiday on {0} is not between From Date and To Date,العطلات فى {0} ليست بين من تاريخ و إلى تاريخ
DocType: Student Log,Student Log,سجل الطالب
DocType: Quality Inspection,Get Specification Details,الحصول على تفاصيل المواصفات
apps/erpnext/erpnext/config/buying.py +165,Templates of supplier standings.,نمازج لتقدير وضع المورد.
DocType: Lead,Interested,مهتم
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py +219,Opening,إفتتاحي
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py +29,From {0} to {1},من {0} إلى {1}
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py +50,Failed to setup taxes,فشل إعداد الضرائب
DocType: Item,Copy From Item Group,نسخة من مجموعة الصنف
DocType: Delivery Trip,Delivery Notification,إشعار تنبيه التسليم
DocType: Journal Entry,Opening Entry,قيد إفتتاحي
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js +25,Account Pay Only,حساب الدفع فقط
DocType: Employee Loan,Repay Over Number of Periods,سداد علي عدد من الفترات
DocType: Stock Entry,Additional Costs,تكاليف إضافية
apps/erpnext/erpnext/accounts/doctype/account/account.py +140,Account with existing transaction can not be converted to group.,لا يمكن تحويل حساب جرت عليه أي عملية إلى تصنيف مجموعة
DocType: Lead,Product Enquiry,الإستفسار عن المنتج
DocType: Education Settings,Validate Batch for Students in Student Group,التحقق من صحة الدفعة للطلاب في مجموعة الطلاب
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py +35,No leave record found for employee {0} for {1},لا يوجد سجل أجازة تم العثور عليه للموظف {0} في {1}
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js +23,Please enter company first,ًيرجي إدخال الشركة أولا
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.js +366,Please select Company first,يرجى إختيار الشركة أولاً
DocType: Employee Education,Under Graduate,طالب جامعي
apps/erpnext/erpnext/selling/report/sales_person_target_variance_item_group_wise/sales_person_target_variance_item_group_wise.js +27,Target On,الهدف في
DocType: BOM,Total Cost,التكلفة الكلية
DocType: Soil Analysis,Ca/K,كالسيوم / بوتاسيوم
DocType: Journal Entry Account,Employee Loan,قرض الموظف
DocType: Fee Schedule,Send Payment Request Email,إرسال بريد إلكتروني لطلب السداد و الدفع
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py +259,Item {0} does not exist in the system or has expired,الصنف {0} غير موجود في النظام أو إنتهت صلاحيته
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py +44,Real Estate,العقارات
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.html +1,Statement of Account,كشف حساب
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py +41,Pharmaceuticals,الصيدلة
DocType: Purchase Invoice Item,Is Fixed Asset,هو أصل ثابت
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py +251,"Available qty is {0}, you need {1}",الكمية المتوفرة {0}، تحتاج {1}
DocType: Expense Claim Detail,Claim Amount,قيمة المطالبة
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py +56,Duplicate customer group found in the cutomer group table,تم العثور على مجموعة عملاء مكررة في جدول مجموعة العملاء
apps/erpnext/erpnext/buying/page/purchase_analytics/purchase_analytics.js +31,Supplier Type / Supplier,نوع المورد / المورد
DocType: Naming Series,Prefix,بادئة
apps/erpnext/erpnext/hr/email_alert/training_scheduled/training_scheduled.html +7,Event Location,موقع الحدث (الفعالية)
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py +68,Consumable,المواد الاستهلاكية
DocType: Student,B-,B-
DocType: Production Planning Tool,Pull Material Request of type Manufacture based on the above criteria,سحب طلب المواد من نوع صناعة بناء على المعايير المذكورة أعلاه
apps/erpnext/erpnext/hub_node/doctype/hub_settings/hub_settings.py +100,Successfully unregistered.,تم إلغاء التسجيل بنجاح.
DocType: Assessment Result,Grade,درجة
DocType: Restaurant Table,No of Seats,عدد المقاعد
DocType: Subscription,"To add dynamic subject, use jinja tags like

<div><pre><code>New {{ doc.doctype }} #{{ doc.name }}</code></pre></div>","لإضافة موضوع ديناميكي، استخدم علامات جينيا مثل <div style=""""><pre style=""""> <code>New {{ doc.doctype }} #{{ doc.name }}</code> </pre> </div>"
DocType: Sales Invoice Item,Delivered By Supplier,سلمت من قبل المورد
DocType: Asset Maintenance Task,Asset Maintenance Task,مهمة صيانة الأصل
DocType: SMS Center,All Contact,جميع جهات الإتصال
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js +952,Production Order already created for all items with BOM,أمر الإنتاج تم إنشاؤه بالفعل لجميع الأصناف مع البوم
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py +230,Annual Salary,المرتب السنوي
DocType: Daily Work Summary,Daily Work Summary,ملخص العمل اليومي
DocType: Period Closing Voucher,Closing Fiscal Year,إغلاق السنة المالية
apps/erpnext/erpnext/accounts/party.py +380,{0} {1} is frozen,{0} {1} مجمد
apps/erpnext/erpnext/setup/doctype/company/company.py +129,Please select Existing Company for creating Chart of Accounts,يرجى تحديد الشركة الحالية لإنشاء دليل الحسابات
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +80,Stock Expenses,تكلفة المخزون
apps/erpnext/erpnext/stock/doctype/batch/batch.js +103,Select Target Warehouse,حدد المخزن المستهدف
apps/erpnext/erpnext/hr/doctype/employee/employee.js +80,Please enter Preferred Contact Email,الرجاء إدخال إيميل جهة الإتصال المفضلة
DocType: Journal Entry,Contra Entry,(قيد كونترا (تحويل
DocType: Journal Entry Account,Credit in Company Currency,المدين بعملة الشركة
DocType: Lab Test UOM,Lab Test UOM,وحدة قياس تحليل المعمل
DocType: Delivery Note,Installation Status,حالة التركيب
apps/erpnext/erpnext/education/doctype/student_attendance_tool/student_attendance_tool.js +135,"Do you want to update attendance?<br>Present: {0}\
					<br>Absent: {1}",هل تريد تحديث الحضور؟ <br> الحاضر: {0} \ <br> غائبة: {1}
apps/erpnext/erpnext/controllers/buying_controller.py +326,Accepted + Rejected Qty must be equal to Received quantity for Item {0},الكمية المقبولة + الكمية المرفوضة يجب أن تساوي الكمية المستلمة من الصنف {0}
DocType: Request for Quotation,RFQ-,RFQ-
DocType: Item,Supply Raw Materials for Purchase,توريد مواد خام للشراء
DocType: Agriculture Analysis Criteria,Fertilizer,السماد
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py +150,At least one mode of payment is required for POS invoice.,يلزم استخدام طريقة دفع واحدة على الأقل لفاتورة نقطة البيع.
DocType: Products Settings,Show Products as a List,عرض المنتجات كقائمة
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py +507,Item {0} is not active or end of life has been reached,الصنف {0} غير نشط أو تم الوصول إلى نهاية العمر
DocType: Student Admission Program,Minimum Age,الحد الأدنى للعمر
apps/erpnext/erpnext/utilities/user_progress.py +187,Example: Basic Mathematics,مثال: الرياضيات الأساسية
apps/erpnext/erpnext/controllers/accounts_controller.py +769,"To include tax in row {0} in Item rate, taxes in rows {1} must also be included",ل تضمين الضريبة في الصف {0} في سعر الصنف ، {1} يجب أيضا تضمين الضرائب في الصفوف
apps/erpnext/erpnext/config/hr.py +223,Settings for HR Module,إعدادات الموارد البشرية
DocType: SMS Center,SMS Center,مركز رسائل SMS
DocType: Sales Invoice,Change Amount,قيمة الباقي
DocType: BOM Update Tool,New BOM,بوم جديدة
DocType: Driver,Driving License Categories,فئات رخصة القيادة
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py +118,Please enter Delivery Date,الرجاء إدخال تاريخ التسليم
DocType: Depreciation Schedule,Make Depreciation Entry,إنشاء قيد إهلاك
DocType: Appraisal Template Goal,KRA,منطقة الأداء الرئيسية
DocType: Lead,Request Type,نوع الطلب
apps/erpnext/erpnext/hr/doctype/offer_letter/offer_letter.js +17,Make Employee,إنشاء موظف
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py +14,Broadcasting,إذاعة
apps/erpnext/erpnext/config/accounts.py +313,Setup mode of POS (Online / Offline),وضع الإعداد ل نقاط البيع (متصل / غير متصل)
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py +191,Execution,تنفيذ
apps/erpnext/erpnext/config/manufacturing.py +62,Details of the operations carried out.,تفاصيل عمليات التشغيل أنجزت.
DocType: Asset Maintenance Log,Maintenance Status,حالة الصيانة
apps/erpnext/erpnext/non_profit/doctype/member/member_dashboard.py +10,Membership Details,تفاصيل العضوية
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +56,{0} {1}: Supplier is required against Payable account {2},{0} {1}: المورد مطلوب مقابل حساب الموردين {2}
apps/erpnext/erpnext/config/selling.py +52,Items and Pricing,الأصناف و التسعير
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.html +2,Total hours: {0},إجمالي الساعات: {0}
